Genre,Title,Director,Date,Studio,IMDb Rating,Length,Budget,Gross($M),Profit,Profit%,US%,US($M),Overseas($M),Overseas%
animation,Inside Out,Pete Docter,6/19/15,Buena Vista Studios,8.8,102,175,266.6,91.6,52.3,185.1,69.4,81.5,30.6
action,Jurassic World,Colin Trevorrow,6/12/15,Universal,7.5,124,215,1245.9,1030.9,479.5,500.4,40.2,745.5,59.8
action,San Andreas,Brad Peyton,5/29/15,WB,6.6,114,110,441.2,331.2,301.1,142,32.2,299.2,67.8
action,Tomorrowland,Brad Bird,5/22/15,Buena Vista Studios,6.7,130,170,202.1,32.1,18.9,90.2,44.6,111.9,55.4
action,Mad Max: Fury Road,George Miller,5/15/15,WB,8.5,120,150,356.4,206.4,137.6,147.1,41.3,209.3,58.7
comedy,Pitch Perfect 2,Elizabeth Banks,5/15/15,Universal,6.9,115,29,276.9,247.9,854.8,181.1,65.4,95.9,34.6
action,Avengers: Age of Ultron,Joss Whedon,5/1/15,Buena Vista Studios,7.9,141,250,1371.6,1121.6,448.6,452.5,33,919.1,67
action,Furious 7,James Wan,4/3/15,Universal,7.6,137,190,1511.6,1321.6,695.6,351,23.2,1160.6,76.8
animation,Home,Tim Johnson,3/27/15,Fox,6.8,94,130,367.7,237.7,182.9,174.7,47.5,193,52.5
action,The Divergent Series: Insurgent,Robert Schwentke,3/20/15,Lionsgate/Summit,6.9,119,110,295.1,185.1,168.3,130,44.1,165.1,55.9
drama,Cinderella,Kenneth Branagh,3/13/15,Buena Vista Studios,7.3,105,95,539,444,467.4,200.3,37.2,338.7,62.8
drama,Fifty Shades of Grey,Sam Taylor-Wood,2/13/15,Universal,4.2,125,40,569.7,529.7,1324.3,166.2,29.2,403.5,70.8
action,Kingsman: The Secret Service,Matthew Vaughn,2/13/15,Fox,7.9,129,81,403.8,322.8,398.5,128.2,31.8,275.5,68.2
animation,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,2/6/15,Paramount Pictures,6.2,92,74,311.6,237.6,321.1,163,52.3,148.6,47.7
comedy,Paddington,Paul King,1/16/15,StudioCanal,7.3,95,55,259.5,204.5,371.8,76.2,29.4,183.3,70.6
action,Taken 3,Olivier Megaton,1/9/15,Fox,6.1,109,48,325.8,277.8,578.8,89.3,27.4,236.5,72.6
action,American Sniper,Clint Eastwood,12/25/14,WB,7.4,132,58,547.1,489.1,843.3,350.1,64,197,36
adventure,Into the Woods,Rob Marshall,12/25/14,Buena Vista Studios,6,125,50,212.9,162.9,325.8,128,60.1,84.9,39.9
adventure,Night at the Museum,Shawn Levy,12/19/14,Fox,6.4,98,127,574.5,447.5,352.4,250.9,43.7,323.6,56.3
adventure,Night at the Museum: Secret of the Tomb,Shawn Levy,12/19/14,Fox,6.3,98,127,360.4,233.4,183.8,113.7,31.6,246.6,68.4
adventure,The Hobbit: The Battle of the Five Armies,Peter Jackson,12/17/14,WB,7.5,144,250,955.1,705.1,282,255.1,26.7,700,73.3
action,Exodus: Gods and Kings,Ridley Scott,12/12/14,Fox,6.1,150,140,268,128,91.4,65,24.3,203,75.7
biography,The Imitation Game,Morten Tyldum,11/28/14,Weinstein Company,8.1,114,15,220,205,1366.7,91.1,41.4,128.9,58.6
animation,Penguins of Madagascar,Simon J. Smith,11/26/14,Fox,6.8,92,132,373.6,241.6,183,83.4,22.3,290.2,77.7
adventure,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,11/21/14,Lionsgate,6.8,123,125,752.1,627.1,501.7,337.1,44.8,415,55.2
animation,Big Hero 6,Christopher Williams,11/7/14,Buena Vista Studios,7.9,102,165,652.1,487.1,295.2,222.5,34.1,429.6,65.9
sci-fi,Interstellar,Christopher Nolan,11/5/14,Paramount Pictures,8.7,169,165,672.7,507.7,307.7,188,27.9,484.7,72.1
action,Fury,David Ayer,10/17/14,Sony,5.8,134,80,211.8,131.8,164.8,85.8,40.5,126,59.5
action,Dracula Untold,Gary Shore,10/10/14,Universal,6.3,92,70,215.5,145.5,207.9,56.3,26.1,159.2,73.9
drama,Gone Girl,David Fincher,10/3/14,Fox,6.7,149,61,368.1,307.1,503.4,167.8,45.6,200.3,54.4
horror,Annabelle,John R. Leonetti,10/3/14,WB/New Line,5.4,99,6.5,255.3,248.8,3827.7,84.3,33,171,67
action,The Maze Runner,Wes Ball,9/19/14,Fox,6.9,113,34,340.8,306.8,902.4,102.4,30.1,238.3,69.9
action,The Expendables 3,Patrick Hughes,8/15/14,Lionsgate,6.1,126,100,206.2,106.2,106.2,39.3,19.1,166.9,80.9
action,Teenage Mutant Ninja Turtles (2014),Jonathan Liebesman,8/8/14,Paramount Pictures,7.9,101,125,485,360,288,191.2,39.4,293.8,60.6
action,Guardians of the Galaxy,James Gunn,8/1/14,Buena Vista Studios,8.1,121,170,774.2,604.2,355.4,333.2,43,441,57
action,Lucy,Luc Besson,7/25/14,Universal,6.4,89,40,458.9,418.9,1047.3,126.7,27.6,332.2,72.4
action,Hercules (2015),Brett Ratner,7/25/14,Paramount Pictures,6.1,98,100,243.4,143.4,143.4,72.7,29.9,170.7,70.1
action,Dawn of the Planet of the Apes,Matt Reeves,7/11/14,Fox,7.7,130,170,708.8,538.8,316.9,208.5,29.4,500.3,70.6
action,Transformers: Age of Extinction,Michael Bay,6/27/14,Paramount Pictures,5.8,165,210,1104,894,425.7,245.4,22.2,858.6,77.8
animation,How to Train Your Dragon 2,Dean DeBlois,6/13/14,Fox,7.9,102,145,618.9,473.9,326.8,177,28.6,441.9,71.4
comedy,22 Jump Street,Phil Lord,6/13/14,Sony,7.1,112,50,331.3,281.3,562.6,191.7,57.9,139.6,42.1
action,Edge of Tomorrow,Doug Liman,6/6/14,WB,7.9,113,178,369.2,191.2,107.4,100.2,27.1,269,72.9
drama,The Fault in our Stars,Josh Boone,6/6/14,Fox,7.9,126,12,307.2,295.2,2460,124.9,40.6,182.4,59.4
action,Maleficent,Robert Stromberg,5/30/14,Buena Vista Studios,7,97,180,758.4,578.4,321.3,241.4,31.8,517,68.2
action,X-Men: Days of Future Past,Bryan Singer,5/23/14,Fox,8.1,131,200,748.1,548.1,274.1,233.9,31.3,514.2,68.7
action,Godzilla (2014),Gareth Edwards,5/16/14,WB,6.5,123,160,528.7,368.7,230.4,200.7,38,328,62
comedy,Neighbors,Nicholas Stoller,5/9/14,Universal,6.4,97,18,268.2,250.2,1390,150.2,56,118,44
action,The Amazing Spider-Man 2,Marc Webb,5/2/14,Sony,6.8,142,200,709,509,254.5,202.9,28.6,506.1,71.4
animation,Rio 2,Carlos Saldanha,4/11/14,Fox,6.4,101,130,500.2,370.2,284.8,131.5,26.3,368.7,73.7
action,Captain America: The Winter Soldier,Joe Russo,4/4/14,Buena Vista Studios,7.8,136,170,714.8,544.8,320.5,259.8,36.3,455,63.7
action,Noah,Darren Aronofsky,3/28/14,Paramount Pictures,5.9,138,130,362.6,232.6,178.9,101.2,27.9,261.4,72.1
adventure,Divergent,Neil Burger,3/21/14,Lionsgate/Summit,6.8,139,85,288.7,203.7,239.7,150.9,52.3,137.8,47.7
action,Need for Speed,Scott Waugh,3/14/14,Buena Vista Studios,6.6,132,66,203.3,137.3,208,43.6,21.4,159.7,78.6
action,300: Rise of An Empire,Noam Murro,3/7/14,WB,6.3,102,110,337.6,227.6,206.9,106.6,31.6,231,68.4
animation,Mr. Peabody & Sherman,Rob Minkoff,3/7/14,Fox,6.9,92,145,272.9,127.9,88.2,111.5,40.9,161.4,59.1
action,Non-Stop,Jaume Collet-Serra,2/28/14,Universal,7,106,50,222.8,172.8,345.6,92.2,41.4,130.6,58.6
sci-fi,RoboCop,Jose Padilha,2/12/14,Sony,7.1,117,120,242.7,122.7,102.3,58.6,24.1,184.1,75.9
animation,The LEGO Movie,Phil Lord,2/7/14,WB,7.8,100,60,468.8,408.8,681.3,257.8,55,211,45
biography,The Wolf of Wall Street,Martin Scorsese,12/25/13,Paramount Pictures,8.2,180,100,392,292,292,116.9,29.8,275.1,70.2
adventure,The Hobbit: The Desolation of Smaug,Peter Jackson,12/13/13,WB,8,161,250,960.4,710.4,284.2,258.4,26.9,702,73.1
drama,American Hustle,David O. Russell,12/13/13,Sony,6.3,138,40,251.2,211.2,528,150.1,59.8,101.1,40.2
animation,Frozen,Chris Buck,11/22/13,Buena Vista Studios,7.7,102,150,1274.2,1124.2,749.5,400.7,31.4,873.5,68.6
action,The Hunger Games: Catching Fire,Francis Lawrence,11/22/13,Lionsgate,7.7,146,130,864.9,734.9,565.3,424.7,49.1,440.2,50.9
action,Thor: The Dark World,Alan Taylor,11/8/13,Buena Vista Studios,7.1,112,170,644.8,474.8,279.3,206.4,32,438.4,68
drama,Captain Phillips,Paul Greengrass,10/11/13,Sony,7.9,134,55,218.8,163.8,297.8,107.1,49,111.7,51
drama,Gravity,Alfonso Cuaron,10/4/13,WB,7.9,91,110,716.4,606.4,551.3,274.1,38.3,442.3,61.7
animation,Cloudy with a Chance of Meatballs 2,Cody Cameron,9/27/13,Sony,6.5,95,78,274.3,196.3,251.7,119.8,43.7,154.5,56.3
action,Elysium,Neill Blomkamp,8/9/13,TriStar,6.7,109,120,286.1,166.1,138.4,93.1,32.5,193.1,67.5
animation,Planes,Klay Hall,8/9/13,Buena Vista Studios,5.7,91,50,239.3,189.3,378.6,90.3,37.7,149,62.3
comedy,We're the Millers,Rawson Marshall Thurber,8/7/13,WB,7.1,110,37,270,233,629.7,150.4,55.7,119.6,44.3
animation,The Smurfs 2,Raja Gosnell,7/31/13,Sony,5.4,105,110,347.5,237.5,215.9,71,20.4,276.5,79.6
horror,The Conjuring,James Wan,7/19/13,WB,7.5,112,20,318,298,1490,137.4,43.2,180.6,56.8
animation,Turbo,David Soren,7/17/13,Fox,6.5,96,135,282.6,147.6,109.3,83,29.4,199.5,70.6
action,Pacific Rim,Guillermo del Toro,7/12/13,WB,6.1,131,190,411,221,116.3,101.8,24.8,309.2,75.2
comedy,Grown Ups 2,Dennis Dugan,7/12/13,Sony,5.4,101,80,247,167,208.8,133.7,54.1,113.3,45.9
animation,Despicable Me 2,Chris Renaud,7/2/13,Universal,7.5,98,76,970.8,894.8,1177.4,368.1,37.9,602.7,62.1
action,The Lone Ranger,Gore Verbinski,7/2/13,Buena Vista Studios,6.5,149,225,260.5,35.5,15.8,89.3,34.3,171.2,65.7
action,The Heat,Paul Feig,6/28/13,Fox,6.6,117,43,229.9,186.9,434.7,159.6,69.4,70.3,30.6
action,White House Down,Roland Emmerich,6/28/13,Sony,8,131,150,205.4,55.4,36.9,73.1,35.6,132.3,64.4
animation,Monsters University,Dan Scanlon,6/21/13,Buena Vista Studios,7.4,104,200,743.6,543.6,271.8,268.5,36.1,475.1,63.9
sci-fi,World War Z,Marc Forster,6/21/13,Paramount Pictures,7,116,190,540,350,184.2,202.4,37.5,337.6,62.5
action,Man of Steel,Zack Snyder,6/14/13,WB,7.2,143,225,668,443,196.9,291,43.6,377,56.4
action,Superman,Zack Snyder,6/14/13,WB,7.3,143,55,300.2,245.2,445.8,134.2,44.7,166,55.3
thriller,Now You See Me,Louis Leterrier,5/31/13,Lionsgate/Summit,7.3,115,75,351.7,276.7,368.9,117.7,33.5,234,66.5
action,After Earth,M. Night Shyamalan,5/31/13,Sony,4.9,100,130,243.8,113.8,87.5,60.5,24.8,183.3,75.2
action,Fast & Furious 6,Justin Lin,5/24/13,Universal,7.2,130,160,788.7,628.7,392.9,238.7,30.3,550,69.7
animation,Epic,Chris Wedge,5/24/13,Fox,6.7,102,100,268.4,168.4,168.4,107.5,40.1,160.9,59.9
comedy,The Hangover Part III,Todd Phillips,5/23/13,WB,5.9,100,103,362,259,251.5,112.2,31,249.8,69
action,Star Trek Into Darkness,J. J. Abrams,5/15/13,Paramount Pictures,7.8,132,190,467.4,277.4,146,228.8,48.9,238.6,51.1
drama,The Great Gatsby (2013),Baz Luhrmann,5/10/13,WB,7.3,142,190,351,161,84.7,144.8,41.3,206.2,58.7
action,Iron Man 3,Shane Black,5/3/13,Buena Vista Studios,7.3,130,200,1215.4,1015.4,507.7,409,33.7,806.4,66.3
action,Oblivion,Joseph Kosinski,4/19/13,Universal,7,124,120,286.2,166.2,138.5,89.1,31.1,197.1,68.9
action,G.I. Joe: Retaliation,Jon M. Chu,3/27/13,Paramount Pictures,5.8,110,130,375.7,245.7,189,122.5,32.6,253.2,67.4
animation,The Croods,Kirk DeMicco,3/22/13,Fox,7.3,98,135,587.2,452.2,335,187.2,31.9,400,68.1
adventure,Oz The Great and Powerful,Sam Raimi,3/8/13,Buena Vista Studios,6.4,130,200,493.3,293.3,146.7,234.9,47.6,258.4,52.4
action,A Good Day to Die Hard,John Moore,2/14/13,Fox,5.3,98,92,304.7,212.7,231.2,67.3,22.1,237.3,77.9
action,Hansel and Gretel: Witch Hunters,Tommy Wirkola,1/25/13,Paramount Pictures,6.1,88,50,226.3,176.3,352.6,55.7,24.6,170.6,75.4
drama,Les Miserables (2012),Tom Hooper,12/25/12,Universal,6,158,61,441.8,380.8,624.3,148.8,33.7,293,66.3
adventure,Django Unchained,Quentin Tarantino,12/25/12,Weinstein Company,8.5,165,100,425.4,325.4,325.4,162.8,38.3,262.6,61.7
action,Jack Reacher,Christopher McQuarrie,12/21/12,Paramount Pictures,7,130,60,218.3,158.3,263.8,80.1,36.7,138.3,63.3
adventure,The Hobbit: An Unexpected Journey,Peter Jackson,12/14/12,WB,8,169,250,1017,767,306.8,303,29.8,714,70.2
adventure,Life of Pi,Ang Lee,11/21/12,Fox,8,127,120,609,489,407.5,125,20.5,484,79.5
animation,Rise of the Guardians,Peter Ramsey,11/21/12,Pacific Data/DreamWorks,7.3,97,145,306.9,161.9,111.7,103.4,33.7,203.5,66.3
drama,The Twilight Saga: Breaking Dawn Part 2,Bill Condon,11/16/12,Lionsgate/Summit,8.2,115,136.2,829.7,693.5,509.2,292.3,35.2,537.4,64.8
romance,Silver Linings Playbook,David O. Russell,11/16/12,Weinstein Company,7.8,122,21,236.4,215.4,1025.7,132.1,55.9,104.3,44.1
biography,Lincoln,Steven Spielberg,11/9/12,Buena Vista Studios,7.4,150,65,275.3,210.3,323.5,182.2,66.2,93.1,33.8
action,Skyfall,Sam Mendes,11/8/12,Sony,7.8,143,200,1108.6,908.6,454.3,304.4,27.5,804.2,72.5
animation,Wreck-It Ralph,Rich Moore,11/2/12,Buena Vista Studios,7.8,101,165,471.2,306.2,185.6,189.4,40.2,281.8,59.8
drama,Argo,Ben Affleck,10/12/12,WB,7.8,120,44.5,232.3,187.8,422,136,58.5,96.3,41.5
action,Taken 2,Olivier Megaton,10/5/12,Fox,6.3,92,45,376.1,331.1,735.8,139.9,37.2,236.3,62.8
animation,Hotel Transylvania,Genndy Tartakovsky,9/28/12,Sony,7.1,91,85,358.4,273.4,321.7,148.3,41.4,210.1,58.6
action,Resident Evil: Retribution,Paul W.S. Anderson,9/14/12,Screen Gems,5.3,96,65,240.2,175.2,269.5,42.3,17.6,197.8,82.4
action,The Expendables 2,Simon West,8/17/12,Lionsgate,6.7,103,100,305.4,205.4,205.4,85,27.8,220.4,72.2
action,The Bourne Legacy,Tony Gilroy,8/10/12,Universal,6.7,135,125,276.1,151.1,120.9,113.2,41,162.9,59
action,The Dark Knight Rises,Christopher Nolan,7/20/12,WB,8.5,165,275,1084.4,809.4,294.3,448.1,41.3,636.3,58.7
animation,Ice Age: Continental Drift,Steve Martino,7/13/12,Fox,6.7,88,95,877.2,782.2,823.4,161.3,18.4,715.9,81.6
action,The Amazing Spider-Man,Marc Webb,7/3/12,Sony,7.1,136,230,757.9,527.9,229.5,262,34.6,495.9,65.4
comedy,Ted,Seth MacFarlane,6/29/12,Universal,7,106,50,549.4,499.4,998.8,218.8,39.8,330.6,60.2
drama,Brave,Richard Stanley,6/22/12,Buena Vista Studios,7.2,93,185,539,354,191.4,237.3,44,301.7,56
animation,Madagascar 3: Europe's Most Wanted,Eric Darnell,6/8/12,Pacific Data/DreamWorks,7,93,145,746.9,601.9,415.1,216.4,29,530.5,71
adventure,Prometheus,Ridley Scott,6/8/12,Fox,7,124,125,403.4,278.4,222.7,126.5,31.4,276.9,68.6
action,Snow White and the Huntsman,Rupert Sanders,6/1/12,Universal,6.1,127,170,396.6,226.6,133.3,155.3,39.2,241.3,60.8
action,MIB 3,Barry Sonnenfeld,5/25/12,Sony,6.9,106,215,624,409,190.2,179,28.7,445,71.3
action,Battleship,Peter Berg,5/18/12,Universal,5.9,131,209,303,94,45,65.4,21.6,237.6,78.4
comedy,Dark Shadows,Tim Burton,5/11/12,WB,6.2,113,150,245.5,95.5,63.7,79.7,32.5,165.8,67.5
action,Marvel's The Avengers,Joss Whedon,5/4/12,Buena Vista Studios,8.2,143,220,1518.6,1298.6,590.3,623.4,41,895.2,59
comedy,American Reunion,Hayden Schlossberg,4/6/12,Universal,6.8,113,50,235,185,370,57,24.3,178,75.7
action,Wrath of the Titans,Jonathan Liebesman,3/30/12,WB,5.8,99,150,305.3,155.3,103.5,83.7,27.4,221.6,72.6
action,The Hunger Games,Gary Ross,3/23/12,Lionsgate,7.3,142,80,691.2,611.2,764,408,59,283.2,41
comedy,21 Jump Street,Phil Lord,3/16/12,Sony,7.2,109,42,201.6,159.6,380,138.4,68.7,63.1,31.3
sci-fi,John Carter,Andrew Stanton,3/9/12,Buena Vista Studios,6.6,132,263.7,284.1,20.4,7.7,73.1,25.7,211.1,74.3
animation,Dr. Seuss' The Lorax,Chris Renaud,3/2/12,Universal,6.5,86,67.5,348.8,281.3,416.7,214,61.4,134.8,38.6
adventure,Journey 2: The Mysterious Island,Brad Peyton,2/11/12,WB,5.8,94,79,335.3,256.3,324.4,103.9,31,231.4,69
action,Safe House,Daniel Espinosa,2/10/12,Universal,6.8,115,85,208.1,123.1,144.8,126.4,60.7,81.7,39.3
animation,The Adventures of Tintin,Steven Spielberg,12/21/11,Paramount Pictures,7.4,107,130,374,244,187.7,77.6,20.7,296.4,79.3
crime,The Girl with the Dragon Tattoo (2011),David Fincher,12/20/11,Sony,7.9,158,90,232.6,142.6,158.4,102.5,44.1,130.1,55.9
action,Mission: Impossible - Ghost Protocol,Brad Bird,12/16/11,Paramount Pictures,7.4,133,145,694.7,549.7,379.1,209.4,30.1,485.3,69.9
action,Sherlock Holmes: A Game of Shadows,Guy Ritchie,12/16/11,WB,7.5,129,125,545.4,420.4,336.3,186.8,34.3,358.6,65.7
animation,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,12/16/11,Fox,4.4,87,80,342.7,262.7,328.4,133.1,38.8,209.6,61.2
adventure,The Twilight Saga: Breaking Dawn Part 1,Bill Condon,11/18/11,Summit Entertainment,5.6,117,127.5,712.2,584.7,458.6,281.3,39.5,430.9,60.5
crime,Immortals,Brian Grant,11/11/11,Relativity Media,6.1,98,75,226.9,151.9,202.5,83.5,36.8,143.4,63.2
drama,The Intouchables,Olivier Nakache,11/2/11,Weinstein Company,8.6,112,10,426.6,416.6,4166,10.2,2.4,416.4,97.6
animation,Puss in Boots,Chris Miller,10/28/11,Pacific Data/DreamWorks,6.7,90,130,555,425,326.9,149.3,26.9,405.7,73.1
horror,Paranormal Activity 3,Henry Joost,10/21/11,Paramount Pictures,5.9,84,5,207,202,4040,104,50.2,103,49.8
action,Real Steel,Shawn Levy,10/7/11,Buena Vista Studios,6.3,127,110,299.3,189.3,172.1,85.5,28.6,213.8,71.4
drama,The Help,Tate Taylor,8/10/11,Buena Vista Studios,8.1,146,25,216.6,191.6,766.4,169.7,78.3,46.9,21.7
sci-fi,Rise of the Planet of the Apes,Rupert Wyatt,8/5/11,Fox,8.6,105,93,481.8,388.8,418.1,176.8,36.7,305,63.3
animation,The Smurfs,Raja Gosnell,7/29/11,Sony,5.5,103,110,563.7,453.7,412.5,142.6,25.3,421.1,74.7
action,Captain America: The First Avenger,Joe Johnston,7/22/11,Paramount Pictures,6.8,124,140,370.6,230.6,164.7,176.7,47.7,193.9,52.3
fantasy,Harry Potter and the Deathly Hallows Part 2,David Yates,7/15/11,WB,8.1,130,125,1341.5,1216.5,973.2,381,28.4,960.5,71.6
comedy,Horrible Bosses,Seth Gordon,7/8/11,WB/New Line,6.9,98,37,209.6,172.6,466.5,117.5,56.1,92.1,43.9
action,Transformers: Dark of the Moon,Michael Bay,6/29/11,Pacific Data/DreamWorks,6.3,157,195,1123.8,928.8,476.3,352.4,31.4,771.4,68.6
animation,Cars 2,Brad Lewis,6/24/11,Buena Vista Studios,6.3,106,200,559.9,359.9,180,191.5,34.2,368.4,65.8
comedy,Bad Teacher,Jake Kasdan,6/24/11,Sony,5.7,92,19,216.2,197.2,1037.9,100.3,46.4,115.9,53.6
action,Green Lantern,Martin Campbell,6/17/11,WB,5.7,114,200,219.9,19.9,10,116.6,53,103.3,47
thriller,Super 8,J. J. Abrams,6/9/11,Paramount Pictures,7.1,112,50,260.1,210.1,420.2,127,48.8,133.1,51.2
action,X-Men: First Class,Bryan Singer,6/3/11,Fox,7.8,131,200,353.6,153.6,76.8,146.4,41.4,207.2,58.6
animation,Kung Fu Panda 2,Jennifer Yuh Nelson,5/26/11,Pacific Data/DreamWorks,7.3,90,150,665.7,515.7,343.8,165.2,24.8,500.4,75.2
comedy,The Hangover Part II,Todd Phillips,5/26/11,WB,6.5,102,80,586.8,506.8,633.5,254.5,43.4,332.3,56.6
action,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,5/20/11,Buena Vista Studios,6.7,137,250,1045.7,795.7,318.3,241.1,23.1,804.6,76.9
comedy,Bridesmaids,Paul Feig,5/13/11,Universal,6.8,125,32.5,288.4,255.9,787.4,169.1,58.6,119.3,41.4
action,Thor,Kenneth Branagh,5/6/11,Paramount Pictures,7,115,150,449.3,299.3,199.5,181,40.3,268.3,59.7
action,Fast Five,Justin Lin,4/29/11,Universal,7.3,130,125,626.1,501.1,400.9,209.8,33.5,416.3,66.5
animation,Rio,Carlos Saldanha,4/15/11,Fox,7,96,90,484.6,394.6,438.4,143.6,29.6,341,70.4
action,Battle: Los Angeles,Jonathan Liebesman,3/11/11,Sony,7.6,116,70,211.8,141.8,202.6,83.6,39.4,128.3,60.6
animation,Rango,Gore Verbinski,3/4/11,Paramount Pictures,7.3,107,135,245.7,110.7,82,123.5,50.3,122.2,49.7
comedy,Just Go With It,Dennis Dugan,2/11/11,Sony,6.4,117,80,214.9,134.9,168.6,103,47.9,111.9,52.1
