Genre,Title,Director,Date,Studio,IMDb Rating,Length,Budget,Gross($M),Profit,Profit%,US%,US($M),Overseas($M),Overseas%
action,The Green Hornet,Michel Gondry,1/14/11,Sony,5.9,119,110,227.8,117.8,107.1,98.8,43.4,129,56.6
adventure,Gulliver's Travels,Rob Letterman,12/25/10,Fox,4.9,85,112,237.4,125.4,112,42.8,18,194.6,82
comedy,Little Fockers,Paul Weitz,12/22/10,Universal,5.4,98,100,310.7,210.7,210.7,148.4,47.8,162.2,52.2
adventure,True Grit,Ethan Coen,12/22/10,Paramount Pictures,7.7,110,35,252.3,217.3,620.9,171.2,67.9,81,32.1
action,Tron Legacy,Joseph Kosinski,12/17/10,Buena Vista Studios,6.8,125,200,400.1,200.1,100.1,172.1,43,228,57
animation,Yogi Bear,Eric Brevig,12/17/10,WB,4.5,80,80,201.6,121.6,152,100.2,49.7,101.3,50.3
adventure,The Chronicles of Narnia 2,Michael Apted,12/10/10,Fox,6.4,113,155,415.7,260.7,168.2,104.4,25.1,311.3,74.9
action,The Tourist,Florian Henckel von Donnersmarck,12/10/10,Sony,6,103,100,278.3,178.3,178.3,67.6,24.3,210.7,75.7
drama,Black Swan,Darren Aronofsky,12/3/10,Fox Searchlight Pictures,8,108,13,329.4,316.4,2433.9,107,32.5,222.4,67.5
biography,The King's Speech,Tom Hooper,11/26/10,Weinstein Company,8.1,118,15,414.2,399.2,2661.3,138.8,33.5,275.4,66.5
animation,Tangled,Byron Howard,11/24/10,Buena Vista Studios,7.8,100,260,591.8,331.8,127.6,200.8,33.9,391,66.1
adventure,Harry Potter and the Deathly Hallows Part 1,David Yates,11/19/10,WB,8.1,146,125,960.3,835.3,668.2,296,30.8,664.3,69.2
animation,Megamind,Tom McGrath,11/5/10,Pacific Data/DreamWorks,7.3,95,130,321.9,191.9,147.6,148.4,46.1,173.5,53.9
comedy,Due Date,Todd Phillips,11/5/10,WB,6.6,95,65,211.8,146.8,225.9,100.5,47.5,111.2,52.5
biography,The Social Network,David Fincher,10/1/10,Sony,7.8,120,40,224.9,184.9,462.3,97,43.1,128,56.9
action,Resident Evil: Afterlife,Paul W.S. Anderson,9/10/10,Screen Gems,5.9,97,57.5,296.2,238.7,415.1,60.1,20.3,236.1,79.7
action,The Expendables,Sylvester Stallone,8/13/10,Lionsgate,6.5,103,82,274.5,192.5,234.8,103.1,37.6,171.4,62.4
drama,Eat Pray Love,Ryan Murphy,8/13/10,Sony,5.6,133,60,204.6,144.6,241,80.6,39.4,124,60.6
action,Salt,Phillip Noyce,7/23/10,Sony,6.4,100,110,293.5,183.5,166.8,118.3,40.3,175.2,59.7
action,Inception,Christopher Nolan,7/16/10,WB,8.8,148,160,825.5,665.5,415.9,292.6,35.4,533,64.6
action,The Sorcerer's Apprentice,Jon Turteltaub,7/14/10,Buena Vista Studios,7.1,109,160,215.3,55.3,34.6,63.2,29.3,152.1,70.7
animation,Despicable Me,Chris Renaud,7/9/10,Universal,7.7,95,69,543.1,474.1,687.1,251.5,46.3,291.6,53.7
action,The Last Airbender,M. Night Shyamalan,7/1/10,Paramount Pictures,4.3,103,150,319.7,169.7,113.1,131.8,41.2,187.9,58.8
drama,The Twilight Saga: Eclipse,David Slade,6/30/10,Summit Entertainment,4.9,124,68,698.5,630.5,927.2,300.5,43,398,57
comedy,Grown Ups,Dennis Dugan,6/25/10,Sony,6,102,75,271.4,196.4,261.9,162,59.7,109.4,40.3
action,Knight & Day,James Mangold,6/23/10,Fox,6.3,109,117,261.9,144.9,123.9,76.4,29.2,185.5,70.8
animation,Toy Story 3,Lee Unkrich,6/18/10,Buena Vista Studios,8.4,103,200,1063.2,863.2,431.6,415,39,648.2,61
action,The Karate Kid,Harald Zwart,6/11/10,Sony,7.2,140,40,359.1,319.1,797.8,176.6,49.2,182.5,50.8
action,Prince of Persia: The Sands of Time,Mike Newell,5/28/10,Buena Vista Studios,6.6,116,200,336.4,136.4,68.2,90.8,27,245.6,73
comedy,Sex and the City 2,Michael Patrick King,5/27/10,WB/New Line,4.2,146,95,288.3,193.3,203.5,95.3,33.1,193,66.9
animation,Shrek Forever After,Mike Mitchell,5/21/10,Pacific Data/DreamWorks,6.4,93,165,752.6,587.6,356.1,238.7,31.7,513.9,68.3
action,Robin Hood,Ridley Scott,5/14/10,Universal,6.7,140,180,321.7,141.7,78.7,105.3,32.7,216.4,67.3
action,Iron Man 2,Jon Favreau,5/7/10,Paramount Pictures,7.1,124,170,623.9,453.9,267,312.4,50.1,311.5,49.9
action,Clash of the Titans,Louis Leterrier,4/2/10,WB,5.8,106,125,493.2,368.2,294.6,163.2,33.1,330,66.9
animation,How to Train Your Dragon,Chris Sanders,3/26/10,Pacific Data/DreamWorks,8.2,98,165,494.9,329.9,199.9,217.6,44,277.3,56
adventure,Alice in Wonderland,Tim Burton,3/5/10,Buena Vista Studios,6.5,108,200,1025.5,825.5,412.8,334.2,32.6,691.3,67.4
drama,Shutter Island,Martin Scorsese,2/19/10,Paramount Pictures,8.1,138,80,294.8,214.8,268.5,128,43.4,166.8,56.6
fantasy,Percy Jackson & The Olympians: The Lightning Thief,Chris Columbus,2/12/10,Fox,5.9,118,95,226.5,131.5,138.4,88.8,39.2,137.7,60.8
comedy,Valentine's Day,Garry Marshall,2/12/10,WB,5.8,125,52,216.5,164.5,316.4,110.5,51,106,49
action,Sherlock Holmes,Guy Ritchie,12/25/09,WB,7.6,128,90,524,434,482.2,209,39.9,315,60.1
comedy,It's Complicated,Nancy Meyers,12/25/09,Universal,6.6,120,75,219.1,144.1,192.1,112.7,51.5,106.4,48.5
animation,Alvin and the Chipmunks: The Squeakquel,Betty Thomas,12/23/09,Fox,4.4,88,70,443.1,373.1,533,219.6,49.6,223.5,50.4
sci-fi,Avatar,James Cameron,12/18/09,Fox,7.9,162,237,2788,2551,1076.4,760.5,27.3,2027.5,72.7
animation,The Princess and the Frog,Ron Clements,11/25/09,Buena Vista Studios,7.2,97,105,267,162,154.3,104.4,39.1,162.6,60.9
drama,The Twilight Saga: New Moon,Chris Weitz,11/20/09,Summit Entertainment,4.6,130,50,709.8,659.8,1319.6,296.6,41.8,413.2,58.2
biography,The Blind Side,John Lee Hancock,11/20/09,WB,7.7,129,35,309.2,274.2,783.4,256,82.8,53.2,17.2
action,2012,Roland Emmerich,11/13/09,Sony,5.8,158,200,769.7,569.7,284.9,166.1,21.6,603.6,78.4
animation,A Christmas Carol (2009),Robert Zemeckis,11/6/09,Buena Vista Studios,6.9,96,190,325.3,135.3,71.2,137.9,42.4,187.4,57.6
documentary,Michael Jackson's This Is It,Kenny Ortega,10/28/09,Sony,7.6,111,60,261.2,201.2,335.3,72.1,27.6,189.1,72.4
animation,Cloudy with a Chance of Meatballs,Phil Lord,9/18/09,Sony,7,90,100,243,143,143,124.9,51.4,118.1,48.6
adventure,Inglourious Basterds,Quentin Tarantino,8/21/09,Weinstein Company,8.3,153,70,321.5,251.5,359.3,120.5,37.5,200.9,62.5
sci-fi,District 9,Neill Blomkamp,8/14/09,TriStar,8,112,30,210.8,180.8,602.7,115.6,54.9,95.2,45.1
animation,Ponyo,Hayao Miyazaki,8/14/09,Buena Vista Studios,7.7,101,34,201.8,167.8,493.5,15.1,7.5,186.7,92.5
action,G.I. Joe: The Rise of Cobra,Stephen Sommers,8/7/09,Paramount Pictures,5.8,118,175,302.5,127.5,72.9,150.2,49.7,152.3,50.3
action,G-Force,Hoyt Yeatman,7/24/09,Buena Vista Studios,5.1,88,82.5,292.8,210.3,254.9,119.4,40.8,173.4,59.2
comedy,The Ugly Truth,Robert Luketic,7/24/09,Sony,6.5,96,38,205.3,167.3,440.3,88.9,43.3,116.4,56.7
adventure,Harry Potter and the Half-Blood Prince,David Yates,7/15/09,WB,7.5,153,250,934.4,684.4,273.8,302,32.3,632.5,67.7
animation,Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,7/1/09,Fox,7,94,90,886.7,796.7,885.2,196.6,22.2,690.1,77.8
animation,Ice Age,Carlos Saldanha,7/1/09,Fox,7.6,94,90,383.3,293.3,325.9,176.4,46,206.9,54
biography,Public Enemies,Michael Mann,7/1/09,Universal,7,140,102.5,214.1,111.6,108.9,97.1,45.4,117,54.6
action,Transformers: Revenge of the Fallen,Michael Bay,6/24/09,Pacific Data/DreamWorks,6,150,210,836.3,626.3,298.2,402.1,48.1,434.2,51.9
comedy,The Proposal,Anne Fletcher,6/19/09,Buena Vista Studios,6.7,108,40,317.4,277.4,693.5,164,51.7,153.4,48.3
comedy,The Hangover,Todd Phillips,6/5/09,WB,7.8,100,35,467.5,432.5,1235.7,277.3,59.3,190.2,40.7
animation,Up,Pete Docter,5/29/09,Buena Vista Studios,8.3,96,175,731.3,556.3,317.9,293,40.1,438.3,59.9
comedy,Night at the Museum: Battle of the Smithsonian,Shawn Levy,5/22/09,Fox,5.9,104,150,413.1,263.1,175.4,177.2,42.9,235.9,57.1
action,Terminator Salvation,Joseph McGinty Nichol,5/21/09,WB,6.7,115,200,371.4,171.4,85.7,125.3,33.7,246,66.3
thriller,Angels & Demons,Ron Howard,5/15/09,Sony,6.7,138,150,485.9,335.9,223.9,133.4,27.4,352.6,72.6
sci-fi,Star Trek,J. J. Abrams,5/8/09,Paramount Pictures,8,127,140,385.7,245.7,175.5,257.7,66.8,128,33.2
action,The Wolverine,Gavin Hood,5/1/09,Fox,6.7,107,150,414.8,264.8,176.5,132.6,32,282.3,68
action,X-Men Origins: Wolverine,Gavin Hood,5/1/09,Fox,6.7,107,150,373.1,223.1,148.7,179.9,48.2,193.2,51.8
animation,Monsters Vs. Aliens,Conrad Vernon,3/27/09,Pacific Data/DreamWorks,6.6,94,175,381.5,206.5,118,198.4,52,183.2,48
action,Taken,Pierre Morel,1/30/09,Fox,7.9,93,25,226.8,201.8,807.2,145,63.9,81.8,36.1
drama,The Curious Case of Benjamin Button,David Fincher,12/25/08,Paramount Pictures,7.8,166,160,333.9,173.9,108.7,127.5,38.2,206.4,61.8
comedy,Marley and Me,David Frankel,12/25/08,Fox,6.2,115,60,242.7,182.7,304.5,143.2,59,99.6,41
comedy,Bedtime Stories,Adam Shankman,12/25/08,Buena Vista Studios,6.1,99,80,212.9,132.9,166.1,110.1,51.7,102.8,48.3
biography,Valkyrie,Bryan Singer,12/25/08,UA Entertainment,7.1,121,75,200.3,125.3,167.1,83.1,41.5,117.2,58.5
comedy,Yes Man,Peyton Reed,12/19/08,WB,6.9,104,50,223.2,173.2,346.4,97.7,43.8,125.6,56.2
drama,Gran Torino,Clint Eastwood,12/12/08,WB,8.2,116,33,270,237,718.2,148.1,54.9,121.9,45.1
drama,The Day the Earth Stood Still (2008),Scott Derrickson,12/12/08,Fox,5.5,104,80,233.1,153.1,191.4,79.4,34,153.7,66
adventure,Australia,Baz Luhrmann,11/26/08,Fox,7.6,165,78,211.3,133.3,170.9,49.6,23.4,161.8,76.6
drama,Twilight,Catherine Hardwicke,11/21/08,Summit Entertainment,5.2,122,37,392.6,355.6,961.1,192.8,49.1,199.8,50.9
animation,Bolt,Christopher Williams,11/21/08,Buena Vista Studios,6.9,96,150,310,160,106.7,114.1,36.8,195.9,63.2
action,Quantum of Solace,Marc Forster,11/14/08,Sony,6.7,106,230,586.1,356.1,154.8,168.4,28.7,417.7,71.3
drama,Slumdog Millionaire,Danny Boyle,11/12/08,Fox Searchlight Pictures,8,120,14,377.9,363.9,2599.3,141.3,37.4,236.6,62.6
animation,Madagascar: Escape 2 Africa,Tom McGrath,11/7/08,Pacific Data/DreamWorks,6.7,89,150,603.9,453.9,302.6,180,29.8,423.9,70.2
comedy,High School Musical 3: Senior Year,Kenny Ortega,10/24/08,Buena Vista Studios,4.3,112,11,252.9,241.9,2199.1,90.6,35.8,162.3,64.2
action,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,8/1/08,Universal,5.2,112,175,401.1,226.1,129.2,102.5,25.6,298.6,74.4
action,The Dark Knight,Christopher Nolan,7/18/08,WB,9,152,185,1004.6,819.6,443,534.9,53.2,469.7,46.8
comedy,Mamma Mia!,Phyllida Lloyd,7/18/08,Universal,6.4,108,52,609.8,557.8,1072.7,144.1,23.6,465.7,76.4
action,Journey to the Center of the Earth,Eric Brevig,7/11/08,WB/New Line,5.8,93,45,242,197,437.8,101.7,42,140.3,58
action,Hancock,Peter Berg,7/2/08,Sony,6.5,92,150,624.4,474.4,316.3,227.9,36.5,396.4,63.5
animation,WALL-E,Andrew Stanton,6/27/08,Buena Vista Studios,8.4,98,180,521.3,341.3,189.6,223.8,42.9,297.5,57.1
action,Wanted,Timur Bekmambetov,6/27/08,Universal,6.7,110,75,341.4,266.4,355.2,134.5,39.4,206.9,60.6
action,Get Smart,Peter Segal,6/20/08,WB,6.5,110,80,230.7,150.7,188.4,130.3,56.5,100.4,43.5
animation,Kung Fu Panda,Jennifer Yuh Nelson,6/5/08,Pacific Data/DreamWorks,7.6,92,130,631.7,501.7,385.9,215.4,34.1,416.3,65.9
comedy,Sex and the City,Michael Patrick King,5/30/08,WB/New Line,6.9,145,57.5,415.3,357.8,622.3,152.6,36.8,262.6,63.2
action,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,5/22/08,Paramount Pictures,6.2,122,185,786.6,601.6,325.2,317.1,40.3,469.5,59.7
action,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,5/16/08,Buena Vista Studios,6.6,150,225,419.7,194.7,86.5,141.6,33.7,278,66.3
comedy,What Happens in Vegas,Tom Vaughan,5/9/08,Fox,7.3,99,35,219.4,184.4,526.9,80.3,36.6,139.1,63.4
action,Iron Man,Jon Favreau,5/2/08,Paramount Pictures,7.9,126,186,585.2,399.2,214.6,318.4,54.4,266.8,45.6
animation,Dr. Seuss' Horton Hears a Who!,Steve Martino,3/14/08,Fox,6.9,86,85,297.1,212.1,249.5,154.5,52,142.6,48
action,"10,000 B.C.",Roland Emmerich,3/7/08,WB,5,109,105,269.8,164.8,157,94.8,35.1,175,64.9
drama,Bienvenue chez les Ch'tis,Dany Boon,2/20/08,PathÌÄåÎÌÄå_ÌÄå´ÌâåÇÌÄåÎÌâå«ÌÄå´ÌâåÅ_ Distribution,7.1,106,15.3,245.1,229.8,1502,0,0,245.1,100
action,Jumper,Doug Liman,2/14/08,Fox,6.1,88,82.5,222.2,139.7,169.3,80.2,36.1,142.1,63.9
action,National Treasure: Book of Secrets,Jon Turteltaub,12/21/07,Buena Vista Studios,6.5,124,130,457.4,327.4,251.9,220,48.1,237.4,51.9
drama,I Am Legend,Francis Lawrence,12/14/07,WB,7.2,101,150,585.3,435.3,290.2,256.4,43.8,329,56.2
animation,Alvin and the Chipmunks,Tim Hill,12/14/07,Fox,5.3,92,55,361.3,306.3,556.9,217.3,60.1,144,39.9
comedy,Juno,Jason Reitman,12/5/07,Fox Searchlight Pictures,6.3,96,7,231.4,224.4,3205.7,143.5,62,87.9,38
adventure,The Golden Compass,Chris Weitz,12/1/07,New Line Cinema,6.1,113,205,372.2,167.2,81.6,70.1,18.8,302.1,81.2
comedy,Enchanted,Kevin Lima,11/21/07,Buena Vista Studios,7.2,107,85,340.5,255.5,300.6,127.8,37.5,212.7,62.5
animation,Bee Movie,Steve Hickner,11/2/07,Pacific Data/DreamWorks,6.2,91,150,287.6,137.6,91.7,126.6,44,161,56
drama,American Gangster,Ridley Scott,11/2/07,Universal,7.8,157,100,266.5,166.5,166.5,130.2,48.8,136.3,51.2
comedy,Mr. Bean's Holiday,Steve Bendelack,8/24/07,Universal,6.3,90,25,229.7,204.7,818.8,33.3,14.5,196.4,85.5
action,Rush Hour 3,Brett Ratner,8/10/07,New Line Cinema,6.2,91,180,258,78,43.3,140.1,54.3,117.9,45.7
action,The Bourne Ultimatum,Paul Greengrass,8/3/07,Universal,8.1,115,130,442.8,312.8,240.6,227.5,51.4,215.4,48.6
animation,The Simpsons Movie,David Silverman,7/27/07,Fox,7.4,87,72.5,527.1,454.6,627,183.1,34.7,343.9,65.3
musical,Hairspray (2007),Adam Shankman,7/20/07,New Line Cinema,6.8,117,75,202.5,127.5,170,118.9,58.7,83.7,41.3
adventure,Harry Potter and the Order of the Phoenix,David Yates,7/11/07,WB,7.4,138,150,939.9,789.9,526.6,292,31.1,647.9,68.9
action,Transformers,Michael Bay,7/3/07,Pacific Data/DreamWorks,7.1,144,151,709.7,558.7,370,319.2,45,390.5,55
animation,Ratatouille,Brad Bird,6/29/07,Buena Vista Studios,8,111,150,623.7,473.7,315.8,206.4,33.1,417.3,66.9
action,Live Free or Die Hard,Len Wiseman,6/27/07,Fox,7.2,128,110,383.5,273.5,248.6,134.5,35.1,249,64.9
action,Fantastic Four: Rise of the Silver Surfer,Tim Story,6/15/07,Fox,5.6,92,120,289,169,140.8,131.9,45.6,157.1,54.4
thriller,Ocean's Thirteen,Steven Soderbergh,6/8/07,WB,6.9,122,85,311.3,226.3,266.2,117.2,37.6,194.2,62.4
comedy,Knocked Up,Judd Apatow,6/1/07,Universal,7.1,129,27.5,219.1,191.6,696.7,148.8,67.9,70.3,32.1
action,Pirates of the Caribbean: At World's End,Gore Verbinski,5/25/07,Buena Vista Studios,7.1,169,300,963.4,663.4,221.1,309.4,32.1,654,67.9
animation,Shrek the Third,Chris Miller,5/18/07,Pacific Data/DreamWorks,6,93,160,799,639,399.4,322.7,40.4,476.2,59.6
action,Spider-Man 3,Sam Raimi,5/4/07,Sony,6.2,139,258,890.9,632.9,245.3,336.5,37.8,554.3,62.2
action,300,Zack Snyder,3/9/07,WB,7.8,117,60,456.1,396.1,660.2,210.6,46.2,245.5,53.8
action,Wild Hogs,Walt Becker,3/2/07,Buena Vista Studios,5.9,100,60,253.6,193.6,322.7,168.3,66.3,85.4,33.7
action,Ghost Rider,Mark Steven Johnson,2/16/07,Sony,5.2,114,120,228.7,108.7,90.6,115.8,50.6,112.9,49.4
biography,The Pursuit of Happyness,Gabriele Muccino,12/15/06,Sony,7.9,117,55,307.1,252.1,458.4,163.6,53.3,143.5,46.7
action,Eragon,Stefen Fangmeier,12/15/06,Fox,5.1,104,100,249.5,149.5,149.5,75,30.1,174.5,69.9
comedy,The Holiday,Nancy Meyers,12/8/06,Sony,6.9,138,85,205.1,120.1,141.3,63.2,30.8,141.9,69.2
action,Casino Royale,Martin Campbell,11/17/06,Sony,8,144,102,599,497,487.3,167.4,28,431.6,72
animation,Happy Feet,George Miller,11/17/06,WB,6.5,108,85,384.3,299.3,352.1,198,51.5,186.3,48.5
comedy,Borat,Larry Charles,11/3/06,Fox,7.3,84,18,261.6,243.6,1353.3,128.5,49.1,133.1,50.9
thriller,The Departed,Martin Scorsese,10/6/06,WB,8.5,151,90,289.8,199.8,222,132.4,45.7,157.5,54.3
action,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,7/7/06,Buena Vista Studios,7.3,151,225,1066.2,841.2,373.9,423.3,39.7,642.9,60.3
comedy,The Devil Wears Prada,David Frankel,6/30/06,Fox,6.8,109,35,326.6,291.6,833.1,124.7,38.2,201.8,61.8
action,Superman Returns,Bryan Singer,6/28/06,WB,6.1,154,232,391.1,159.1,68.6,200.1,51.2,191,48.8
comedy,Click,Frank Coraci,6/23/06,Revolution Studios,6.4,107,82.5,237.7,155.2,188.1,137.4,57.8,100.3,42.2
animation,Cars,John Lasseter,6/9/06,Buena Vista Studios,7.2,117,70,462,392,560,244.1,52.8,217.9,47.2
comedy,The Break-Up,Peyton Reed,6/2/06,Universal,5.8,106,52,205,153,294.2,118.7,57.9,86.3,42.1
action,X-Men: The Last Stand,Brett Ratner,5/26/06,Fox,6.8,104,150,459.4,309.4,206.3,234.4,51,225,49
thriller,The Da Vinci Code,Ron Howard,5/19/06,Sony,6.5,149,125,758.2,633.2,506.6,217.5,28.7,540.7,71.3
animation,Over the Hedge,Karey Kirkpatrick,5/19/06,Pacific Data/DreamWorks,6.8,83,80,336,256,320,155,46.1,181,53.9
action,Mission: Impossible III,J. J. Abrams,5/5/06,Paramount Pictures,6.8,126,150,397.9,247.9,165.3,134,33.7,263.8,66.3
animation,Ice Age: The Meltdown,Carlos Saldanha,3/31/06,Fox,6.9,91,75,660.9,585.9,781.2,195.3,29.6,465.6,70.4
comedy,Fun with Dick and Jane,Dean Parisot,12/21/05,Sony,6.1,90,140,202,62,44.3,110.3,54.6,91.7,45.4
adventure,King Kong,Peter Jackson,12/14/05,Universal,7.3,187,207,550.5,343.5,165.9,218.1,39.6,332.4,60.4
adventure,The Chronicles of Narnia,Andrew Adamson,12/9/05,Buena Vista Studios,6.9,143,180,745,565,313.9,291.7,39.2,453.3,60.8
adventure,Harry Potter and the Goblet of Fire,Mike Newell,11/18/05,WB,7.6,157,150,896.9,746.9,497.9,290,32.3,606.9,67.7
animation,Chicken Little,Mark Dindal,11/4/05,Buena Vista Studios,5.8,81,60,314.4,254.4,424,135.4,43.1,179,56.9
action,Flightplan,Robert Schwentke,9/23/05,Buena Vista Studios,6.2,98,55,223.4,168.4,306.2,89.7,40.2,133.7,59.8
adventure,Charlie and the Chocolate Factory,Tim Burton,7/15/05,WB,6.7,115,150,475,325,216.7,206.5,43.5,268.5,56.5
comedy,Wedding Crashers,David Dobkin,7/15/05,New Line Cinema,7,119,40,285.2,245.2,613,209.3,73.4,75.9,26.6
action,Fantastic Four,Tim Story,7/8/05,Fox,5.7,106,87.5,330.6,243.1,277.8,154.7,46.8,175.9,53.2
action,War of the Worlds,Steven Spielberg,6/29/05,Paramount Pictures,6.5,116,132,591.7,459.7,348.3,234.3,39.6,357.5,60.4
action,Batman Begins,Christopher Nolan,6/15/05,WB,8.3,140,150,374.2,224.2,149.5,206.9,55.3,167.4,44.7
action,Mr. & Mrs. Smith,Doug Liman,6/10/05,Fox,6.5,120,110,478.2,368.2,334.7,186.3,39,291.9,61
animation,Howl's Moving Castle,Hayao Miyazaki,6/10/05,Buena Vista Studios,8.2,119,24,235.2,211.2,880,4.7,2,230.5,98
animation,Madagascar,Tom McGrath,5/27/05,DreamWorks,6.9,86,75,532.7,457.7,610.3,193.6,36.3,339.1,63.7
action,Star Wars: Episode III - Revenge of the Sith,George Lucas,5/19/05,Fox,7.7,140,115,848.8,733.8,638.1,380.3,44.8,468.5,55.2
action,Kingdom of Heaven,Ridley Scott,5/6/05,Fox,7.2,145,110,211.7,101.7,92.5,47.4,22.4,164.3,77.6
animation,Robots,Chris Wedge,3/11/05,Fox,6.3,91,80,260.7,180.7,225.9,128.2,49.2,132.5,50.8
fantasy,Constantine,Francis Lawrence,2/18/05,WB,7.6,121,100,230.9,130.9,130.9,76,32.9,154.9,67.1
comedy,Hitch,Andy Tennant,2/11/05,Sony,8.2,118,55,368.1,313.1,569.3,179.5,48.8,188.6,51.2